Occupational Interest,Job Zone,Code,Occupation
19,1-2,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic"
19,5,15-2031.00,Operations Research Analysts
18,5,29-1181.00,Audiologists
18,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
18,3,19-4071.00,Forest and Conservation Technicians
18,1-2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
18,5,19-1029.02,Molecular and Cellular Biologists
18,4,25-4013.00,Museum Technicians and Conservators
18,5,29-1222.00,"Physicians, Pathologists"
18,1-2,47-2022.00,Stonemasons
17,1-2,49-3022.00,Automotive Glass Installers and Repairers
17,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
17,3,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
17,3,51-9071.06,Gem and Diamond Workers
17,5,19-1042.00,"Medical Scientists, Except Epidemiologists"
17,4,19-1022.00,Microbiologists
17,1-2,53-5022.00,Motorboat Operators
17,5,29-1243.00,Pediatric Surgeons
17,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
17,4,15-1255.01,Video Game Designers
17,4,15-1255.00,Web and Digital Interface Designers
17,3,15-1254.00,Web Developers
16,5,19-1029.04,Biologists
16,1-2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
16,5,15-1211.01,Health Informatics Specialists
16,1-2,51-9111.00,Packaging and Filling Machine Operators and Tenders
16,3,33-3021.02,Police Identification and Records Officers
16,3,51-5111.00,Prepress Technicians and Workers
16,1-2,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
16,1-2,51-9195.03,"Stone Cutters and Carvers, Manufacturing"
16,1-2,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
16,1-2,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
16,4,15-1299.01,Web Administrators
15,5,29-1212.00,Cardiologists
15,1-2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
15,4,15-2051.00,Data Scientists
15,4,15-1242.00,Database Administrators
15,3,51-6092.00,Fabric and Apparel Patternmakers
15,1-2,47-4031.00,Fence Erectors
15,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
15,3,47-4041.00,Hazardous Materials Removal Workers
15,1-2,47-4051.00,Highway Maintenance Workers
15,1-2,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
15,5,29-1123.00,Physical Therapists
15,1-2,53-4031.00,Railroad Conductors and Yardmasters
15,4,19-1031.02,Range Managers
15,1-2,47-2181.00,Roofers
15,1-2,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood"
15,1-2,47-4091.00,Segmental Pavers
15,5,27-1027.00,Set and Exhibit Designers
15,1-2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
15,1-2,47-2053.00,Terrazzo Workers and Finishers
14,4,29-1141.01,Acute Care Nurses
14,1-2,47-2081.00,Drywall and Ceiling Tile Installers
14,5,19-1029.03,Geneticists
14,1-2,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
14,3,29-2012.01,Histology Technicians
14,4,13-1081.00,Logisticians
14,3,29-2057.00,Ophthalmic Medical Technicians
14,3,29-2099.05,Ophthalmic Medical Technologists
14,5,29-1241.00,"Ophthalmologists, Except Pediatric"
14,3,29-2081.00,"Opticians, Dispensing"
14,5,29-1041.00,Optometrists
14,3,29-2043.00,Paramedics
14,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
14,1-2,43-5061.00,"Production, Planning, and Expediting Clerks"
14,1-2,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
14,1-2,49-3093.00,Tire Repairers and Changers
14,5,29-1229.03,Urologists
13,1-2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
13,5,29-2011.02,Cytotechnologists
13,4,29-1128.00,Exercise Physiologists
13,5,25-9021.00,Farm and Home Management Educators
13,1-2,51-3093.00,Food Cooking Machine Operators and Tenders
13,5,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary"
13,1-2,47-3012.00,Helpers--Carpenters
13,1-2,51-9151.00,Photographic Process Workers and Processing Machine Operators
13,1-2,51-4052.00,"Pourers and Casters, Metal"
13,1-2,51-5113.00,Print Binding and Finishing Workers
13,5,15-2041.00,Statisticians
13,1-2,47-2044.00,Tile and Stone Setters
13,4,19-1023.00,Zoologists and Wildlife Biologists
12,4,29-2011.01,Cytogenetic Technologists
12,4,11-9161.00,Emergency Management Directors
12,4,27-4032.00,Film and Video Editors
12,4,29-2011.04,Histotechnologists
12,5,29-1022.00,Oral and Maxillofacial Surgeons
12,3,27-4021.00,Photographers
12,1-2,47-2161.00,Plasterers and Stucco Masons
12,5,29-1081.00,Podiatrists
12,4,13-1082.00,Project Management Specialists
12,1-2,53-4041.00,Subway and Streetcar Operators
12,1-2,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
11,5,25-1041.00,"Agricultural Sciences Teachers, Postsecondary"
